RES,POW,TotalFlow
1102014,1102075,590
1102014,1102080,135
1102026,1102026,70
1102026,1102075,430
1102026,1102085,30
1102028,1102028,70
1102028,1102075,630
1102028,1102080,55
1102028,1102085,80
1102028,1103025,40
1102029,1102075,225
1102029,1102085,20
1102031,1102034,20
1102031,1102075,130
1102031,1102085,20
1102031,1103025,20
1102033,1102075,75
1102034,1102075,45
1102034,1103025,30
1102036,1102036,30
1102036,1102075,90
1102036,1103014,20
1102036,1103025,30
1102037,1102075,175
1102037,1102085,25
1102038,1102075,20
1102038,1103014,75
1102038,1103025,90
1102039,1102039,55
1102039,1102075,110
1102039,1103014,25
1102039,1103025,75
1102040,1102044,25
1102040,1102075,485
1102040,1102085,20
1102041,1102039,20
1102041,1102075,115
1102041,1103025,50
1102042,1102042,40
1102042,1102043,30
1102042,1102075,185
1102042,1103025,20
1102043,1102075,55
1102044,1102044,45
1102044,1102046,55
1102044,1102075,375
1102044,1103025,35
1102045,1102075,20
1102046,1102044,20
1102046,1102046,105
1102046,1102075,75
1102048,1102075,145
1102049,1102049,30
1102049,1102075,355
1102050,1102075,75
1102052,1102048,20
1102052,1102052,85
1102052,1102054,20
1102052,1102075,855
1102052,1102080,30
1102054,1102052,35
1102054,1102054,25
1102054,1102075,540
1102054,1102080,50
1102056,1102056,20
1102056,1102075,180
1102057,1102057,30
1102058,1102058,25
1102058,1102075,140
1102059,1102075,55
1102065,1102075,90
1102070,1102075,115
1102075,1101016,20
1102075,1101018,60
1102075,1101021,20
1102075,1101024,45
1102075,1102014,20
1102075,1102026,20
1102075,1102032,20
1102075,1102034,20
1102075,1102040,65
1102075,1102044,25
1102075,1102045,35
1102075,1102046,20
1102075,1102048,65
1102075,1102052,65
1102075,1102056,20
1102075,1102057,20
1102075,1102059,30
1102075,1102070,20
1102075,1102075,12565
1102075,1102080,330
1102075,1102085,205
1102075,1103005,60
1102075,1103012,20
1102075,1103019,25
1102075,1103025,210
1102075,1209034,35
1102075,3520005,20
1102075,3521005,25
1102075,4806016,20
1102075,4816037,35
1102080,1101018,80
1102080,1102008,25
1102080,1102012,30
1102080,1102052,25
1102080,1102075,3300
1102080,1102080,540
1102080,1102085,20
1102080,1103025,35
1102080,1209034,25
1102085,1102037,25
1102085,1102075,1800
1102085,1102080,45
1102085,1102085,185
1102085,1103025,45
1103001,1102031,20
1103001,1102075,55
1103001,1103001,25
1103001,1103005,70
1103001,1103025,110
1103005,1102075,25
1103005,1103005,125
1103005,1103025,75
1103006,1102075,45
1103006,1103005,35
1103006,1103006,20
1103006,1103025,130
1103008,1102075,20
1103008,1103008,45
1103008,1103025,45
1103009,1102075,65
1103009,1103025,155
1103011,1102075,25
1103011,1103011,60
1103011,1103012,40
1103011,1103014,40
1103011,1103025,285
1103012,1102075,40
1103012,1103012,90
1103012,1103014,90
1103012,1103025,310
1103014,1102075,70
1103014,1103012,45
1103014,1103014,160
1103014,1103025,235
1103015,1103006,25
1103016,1103012,20
1103016,1103014,105
1103016,1103016,25
1103016,1103025,145
1103018,1103025,35
1103019,1103025,175
1103023,1103025,115
1103024,1102075,30
1103024,1103012,35
1103024,1103024,35
1103024,1103025,210
1103025,1102039,35
1103025,1102075,270
1103025,1103005,85
1103025,1103006,45
1103025,1103008,20
1103025,1103011,70
1103025,1103012,270
1103025,1103014,170
1103025,1103015,20
1103025,1103016,20
1103025,1103018,30
1103025,1103019,190
1103025,1103024,30
1103025,1103025,4230
1103025,1103028,20
1103025,1103029,30
1103025,1103042,20
1103025,1209034,35
1103026,1103019,30
1103026,1103025,145
1103026,1103027,25
1103026,1103029,115
1103027,1103025,20
1103028,1103025,155
1103029,1103025,55
1103029,1103027,20
1103029,1103029,35
1103031,1103025,115
1103031,1103031,50
1103031,1103033,20
1103032,1103019,25
1103032,1103025,100
1103032,1103031,25
1103032,1103033,30
1103032,1103034,25
1103033,1103025,25
1103034,1103025,60
1103034,1103034,55
1103035,1103035,70
1103036,1103025,35
1103036,1103034,40
1103038,1103025,40
1103041,1103025,35
1103041,1103042,100
1103041,1103049,40
1103042,1103042,110
1103042,1103049,20
1103044,1103042,65
1103044,1103044,30
1103046,1103042,60
1103048,1103042,70
1103049,1103025,45
1103049,1103042,105
1103049,1103049,125
1103049,1103051,25
1103049,1103052,105
1103051,1103025,30
1103051,1103042,65
1103051,1103049,85
1103051,1103051,50
1103051,1103052,95
1103051,1103059,20
1103052,1103025,25
1103052,1103042,25
1103052,1103049,65
1103052,1103051,35
1103052,1103052,110
1103052,1103058,20
1103052,1103059,20
1103054,1103042,40
1103054,1103049,20
1103054,1103052,95
1103054,1103059,45
1103056,1103025,25
1103056,1103049,20
1103056,1103051,20
1103056,1103052,80
1103056,1103056,20
1103056,1103058,20
1103056,1103059,230
1103058,1103025,20
1103058,1103042,25
1103058,1103052,80
1103058,1103058,55
1103058,1103059,270
1103059,1103059,145
1201001,1201001,1420
1201001,1201004,210
1201001,1201006,180
1201001,1201008,40
1201001,1201009,25
1201001,1202001,110
1201001,1202006,80
1201004,1201001,135
1201004,1201004,90
1201004,1201006,40
1201006,1201001,110
1201006,1201004,25
1201006,1201006,475
1201006,1201008,290
1201006,1201009,270
1201006,1204010,65
1201008,1201001,45
1201008,1201006,265
1201008,1201008,230
1201008,1201009,40
1201009,1201006,25
1201009,1201009,110
1202001,1201001,85
1202001,1201006,20
1202001,1202001,1280
1202001,1202004,260
1202001,1202006,950
1202001,1203001,75
1202001,1203004,25
1202004,1201001,40
1202004,1202001,225
1202004,1202004,1020
1202004,1202006,2235
1202004,1203001,90
1202004,1203006,25
1202004,1209034,30
1202006,1202001,95
1202006,1202004,325
1202006,1202006,1715
1202006,1203001,45
1202006,1209034,25
1202040,1202004,20
1203001,1202001,40
1203001,1202004,85
1203001,1202006,245
1203001,1203001,2000
1203001,1203004,160
1203001,1203006,140
1203004,1202006,50
1203004,1203001,210
1203004,1203004,860
1203004,1203006,735
1203004,1205004,70
1203004,1205008,50
1203004,1209034,25
1203006,1203001,30
1203006,1203004,115
1203006,1203006,325
1203006,1205004,35
1204010,1201001,20
1204010,1201006,25
1204010,1201009,25
1204010,1204010,1935
1204010,1205001,35
1204010,1206001,100
1204010,1206004,445
1204010,1206006,35
1204010,1209034,105
1205001,1205001,50
1205001,1205004,25
1205001,1205008,25
1205001,1205009,80
1205001,1205014,60
1205001,1205016,110
1205001,1206001,30
1205001,1206004,40
1205001,1207001,360
1205001,1207004,20
1205001,1207012,20
1205001,1209034,45
1205004,1203004,105
1205004,1203006,190
1205004,1205001,20
1205004,1205004,525
1205004,1205008,340
1205004,1205009,135
1205004,1205016,45
1205004,1207001,40
1205004,1209034,30
1205008,1205004,25
1205008,1205008,55
1205009,1205004,70
1205009,1205008,55
1205009,1205009,580
1205009,1205014,55
1205009,1205016,165
1205009,1207001,135
1205009,1207004,25
1205009,1207012,30
1205009,1209034,20
1205014,1205001,45
1205014,1205008,25
1205014,1205009,70
1205014,1205014,160
1205014,1205016,370
1205014,1207001,620
1205014,1207004,55
1205014,1207011,45
1205014,1207012,105
1205014,1209034,20
1205016,1205009,40
1205016,1205014,35
1205016,1205016,305
1205016,1207001,125
1206001,1204010,310
1206001,1206001,2340
1206001,1206004,3635
1206001,1206006,1040
1206001,1206008,315
1206001,1206009,355
1206001,1207001,25
1206001,1209034,370
1206004,1204010,85
1206004,1206001,505
1206004,1206004,2060
1206004,1206006,165
1206004,1206008,60
1206004,1206009,35
1206004,1209034,95
1206006,1206001,175
1206006,1206004,95
1206006,1206006,310
1206006,1209034,55
1206008,1206001,50
1206008,1206004,70
1206008,1206006,40
1206008,1206008,65
1206008,1209034,25
1206009,1204010,20
1206009,1206001,105
1206009,1206004,255
1206009,1206006,115
1206009,1206008,65
1206009,1206009,1580
1206009,1207001,40
1206009,1207011,30
1206009,1207012,30
1206009,1208002,20
1206009,1209034,985
1206009,1211002,20
1207001,1205001,155
1207001,1205004,20
1207001,1205009,75
1207001,1205014,85
1207001,1205016,265
1207001,1207001,4395
1207001,1207004,705
1207001,1207011,635
1207001,1207012,1115
1207001,1207016,245
1207001,1207021,60
1207001,1207024,105
1207001,1208001,25
1207001,1208002,25
